bleed_rate_high	HIGH
popup_save_restore_fail	Restoring of save game backup failed. Do you want to delete your save game?
interface_msg_reset_insufficient_cash	You do not have enough cash to reset your progression in this tree.
ammo_9mm_ap_01_description	Armor-piercing ammo for 9mm semi-automatic handguns. Ideal to penetrate and damage armor, but low hardpoint damage on machine organs.
player_character_skin_tone_tanned	TANNED
player_character_part_name_shirt_01_c	T-shirt, yellow
option_action_look_right	LOOK RIGHT
option_visualaudioclue_name	AUDIO CLUE VISUALIZATION
playerstat_perks_bow	BOW
tut_luring_header	LURING
missions_competitions	COMPETITIONS
player_character_part_name_shirt_06_a	Flannel shirt, red
key_pc_numpad_divide	NUMPAD DIVIDE
leaderboard_animal_score	SCORE
worldmission25_info_description	Find if the student is still around
interface_msg_title_kicked	KICKED
tut_track_color	Tracks can be differently colored. A cyan-colored track belongs to the animal you are currently tracking.

White-colored tracks belong to a new animal.
mission_wb_am_03_missionitem_06_content	AM03 item 06 content
key_doorkey_weaponstore_01_name	Loadout Storage Key
warboard_mountains_safety_03_title	Radio Silence
warboardmission_payback02a_obj_01	Find a way to the shore to get to the coordinates
mission_wm_04_missionitem_01_header	Anita's message to Roland
warboard_farmlands_safety_04_title	Last Flight
option_controller_invert_desc_ps4	Switch wireless controller look up / down directions.
organ_weapon_shotgun	SHOTGUN
log_screen_filter_safety_header	SAFETY
player_character_part_name_handwear_05_b	Single ring, gold
inventory_item_optics	OPTICS
option_pad_vibration_desc	Turn controller vibration on or off.
location_southcoast_hisinganaset_villa_annatorp	Ännatorp
interface_select	SELECT
equipment_radio_lure_description	A noisy portable radio that's bound to draw the attention of nearby machines.
mission_wm_14_missionitem_01_content	Someone drew a few symbols on the map, seemingly indicating overrun places and potential safehouses due to their sturdiness or isolation. Sävered Church is the only place circled in red, and next to it, those words:
"SAFE FOR NOW?!
If you need help, find us there. Stay out of sight, don't make a noise."
attachment_muzzle_choke_shotgun_01_name_short	Shotgun Choke
option_fur_name	FUR QUALITY
organ_hardpoint_optics	OPTICS
current_tracked_mission_tooltip_header	CURRENT TRACKED MISSION
interface_equip_ammo	SWITCH AMMO
worldmission34_obj02	Search for any survivors
location_marshlands_farm_rusksele	Rusksele
mpmenu_server_distance	DISTANCE
warboardmission_safety01_obj_04	Try using the radio again to call for help
player_character_part_name_handwear_04_m	Knitted gloves, red
organ_armour_panel	PANEL
skill_04_name_09	
player_character_part_name_shirt_03_c	Band tee, Splash Freak
mpmenu_preferred_lang_english	English
player_character_part_name_handwear_03_g	Driver's gloves, yellow/black
player_character_part_name_hair_13_e	Hi-top, pink
warboard_southcoast_payback_03obj_02	Find the engineering room to disable the fort's artillery
warboard_farmlands_safety_04obj_05	Search for anything left behind
intromission02_description	You are now armed and can defend yourself. However, it would be good to have a safe location to hold up in and return to should things turn for the worst.

Following the road should lead you to some sort of civilization where you can find people, or in the worst case, a hiding place.
player_character_facepaint_name_skull	Skull
worldmission31_obj02	Search for any left-behind equipment
tut_map_console	Press {GUI_PDA} to enter the map screen at any time.
option_trackcoloractive_desc	Choose the color of the clues and tracks that you are currently tracking.
organ_armour_core	SHOULDER
option_value_color_azure_radiance	AZURE RADIANCE
player_character_sub_category_name_shirt_01	Tank top
action_use_item	USE ITEM
avalanche_account_opt_out_header	Don't create an avalanche studios account
key_pc_mousedown	MOVE MOUSE DOWN
location_archipelago_iboholmen_talludden	Talludden
tut_inventory_3	You have found an unloaded weapon. Without some ammo it is useless.
option_tessellation_desc	Adjusts the density of the terrain detail tessellation. Medium performance impact.
equipment_stats_first_aid_kit_uses_description	The number of uses the first aid kit has before it expires and is removed from your inventory.
player_character_part_name_head_f_05	F Head 5
status_attribute_health_bonus_label	Health Bonus
warboard_mountains_payback_pbobj_05	Find out a way to disable to complex
organ_hardpoint_battery	HARDPOINT BATTERY
mainmenu_character_create_skin	CHARACTER
dev_missionary_organiser	⎯⎯⎯☐⎯⎯⎯
worldmission35_3description	One of the soldiers used to smuggle military equipment out of the garrison. He had a stash nearby, finding it could prove useful.
location_marshlands_norrmyra_armybase	Norrmyra Artillery Base
option_3dicons_name	POI ICONS
player_character_part_name_jacket_08_d	Biker leather jacket, brown
worldmission_bcd_obj05	Survive
popup_save_restore_success	Save game restored successfully.
location_southcoast_savered_campground_brevikens	Brevikens Camping
player_character_creation_category_label_head	Face
equipment_sight_pa_shotgun_12ga_illuminated_iron_name_short	12ga Iron PA
e3_radio_f_xx_01_eng	Gösta, this is Anita. Where are you? The IPA has been going for minutes. I'm trying to get a hold of Peter to see if the army has been in contact, but I have the evacuation plan at my house, so get here as soon as you hear this!
option_anisotropic_name	ANISOTROPIC FILTERING
organ_hardpoint_comms	COMMUNICATIONS ARRAY
equipment_lockpick_01_name	Lockpick Hairpin
option_value_color_magenta	MAGENTA
missions_track	TRACK MISSION
option_action_huntermate_map	OPEN MAIN MAP
player_character_part_name_head_f_04	F Head 4
player_character_part_name_handwear_01_i	Rings, bronze
player_character_part_name_jacket_01_f	Flight jacket, yellow
tut_codex_collectibles_header	COLLECTIBLES
tut_movement_speed_console	Use {RUN_TOGGLE} to switch between walking and running. Running makes a lot of noise, so try to avoid it when you are tracking or stalking an animal.
mission_wm_13_missionitem_03_content	"Howdy Big O!
(Okay, that doesn't sound right anymore, does it? Sorry.) I miss you too... at least I think I do. But things haven't changed since we broke up. We both have things to work out.
And to be honest, I'm really swamped at work right now. Lamest excuse in the book, I know, but it's true. It's quite bad, we're getting lots of pressure from the guys in suits, and I'm basically living at the lab half of the time. But I should get a couple of days off before Christmas. We'll go have a Christmas dinner at the pizzeria in Fiskebäck.
Ta-da, Captain Veronika"
warboard_mountains_02_summary	Unlock the Mountains Command Bunker
option_mpnametags_desc_ps4	Enable / disable the display of online IDs in multiplayer above players in-game.
player_character_part_name_handwear_04_a	Knitted gloves, gray
location_farmlands_boo_averholm_farm	Averholm Manor
attachment_mag_extended_handgun_9mm_01_name_short	[Klaucke 17] Ext. Mag.
player_character_part_name_hat_01_a	Knit cap, white/pink
player_character_part_name_pants_02_e	Suit pants, brown
location_farmlands_dyrbo_farm_stralsund	Stralsund
warboard_gotland_01_name	Warboard - Hermelinen Bunker
player_character_part_name_backpack_01_f	Wanderer's backpack, light gray
equipment_flare_lure_01_name	Emergency flare
location_farmlands_overby_farm_myrbacka	Myrbacka
worldmission06_info_description	A military supply convoy got blocked on the road to Måsskär on Norra Saltholmen, then went radio silent. If it's still there then it might have important resources
option_action_itemslot_9	DRAW WEAPON / ITEM SLOT 9
tut_skills2_header	ACTIVE SKILLS
ach_023_name	Say Hello To My Little Friend
worldmission16_info_name	The Fallen
ach_076_name	Die Hard
location_mountain_villa_klinthytta	Klinthytta
player_character_part_name_hair_02_c	Perm, dark blond
equipment_emp_batterypack_medium_01_name	Medium-sized EMP Cell
signtranslation_tobak	"TOBACCO & GAMES"
(Tobacconist and bookmaker)
popup_header_login	Logging In
warboard_southcoast_04_obj_03_1	Restore power to the bunker
equipment_stats_ammo_penetration_label	PENETRATION
interface_equip_scope	EQUIP SCOPE
playerstat_mp_coop_kills	MULTIPLAYER COOPERATIVE HARVESTS
player_character_part_name_shoes_01	High sneakers
collectable_gnome_13_rainbow	Rainbow Gnome
option_controller_invert_name_xb1	INVERT WIRELESS CONTROLLER Y-AXIS
player_character_part_name_hair_08_f	Crew cut, bright red
key_bunkerkey_vesslan_name	Vesslan Bunker Entry Barcode
sight_rifle_scope_1-4x_xray_description	An advanced rifle scope with modest zoom, but the ability to see through solid objects.
tut_animal_states_1_header	FLEEING ANIMALS
map_fast_travel	FAST TRAVEL
ach_058_name	Spare Parts
mission_sm_sd_missionitem_02_header	header2
mission_wb_sm_02_missionitem_03_description	One of the soldiers in the dispatch team started writing this, but didn't get to finish:

"All our attempts at removing the interference only succeed for a few seconds, then the enemy regains control over it. It is likely the enemy also hacked all of our relay towers. We'd require intervention teams to deployed on all the other sites , but with our comms crippled, it's near-impos--"
key_pc_rshift	RIGHT SHIFT
player_character_part_name_backpack_01_j	Wanderer's backpack, purple
ammo_9mm_ap_01_name	9mm Armor-Piercing (Handgun)
attachment_vision_heat_night_xray_01_description	This module can be switched between three modes: low light, IR and object penetrating vision.
worldmission40_3description	description
equipment_emp_batterypack_car_01_name_short	Car EMP
worldmission39_obj02	Discover the supply cache, in the farm's shed
tut_main_missions	Completing missions for the reserve's locals is a great way to earn cash and XP.

Missions are optional and are not necessary to unlock new game content. Complete missions to unlock additional ones.
popup_save_restoring	Restoring save game backup...
FootDistanceTraveled	Foot Distance Traveled
equipment_stats_general_variation_description	Visual variation of the item. This has no effect on its performance. 
option_volume_speech_desc	Adjust the volume of the dialogue.
interface_recover	RECOVER
player_character_part_name_hair_11_e	Short afro, pink
equipment_optics_rangefinder_name_short	5x30
collectable_dalahast_12_kronor	Emblem Dala Horse
mission_wm_07_missionitem_01_content	"Steffi,
Military's escorting everyone to the bunker. Emergency procedure stuff, no questions asked. What the hell is going on in Sweden this week? Sucks that you're back home now of all times.

Go to "our" cairn, at the end of the Path of the Gods - remember, my horrible failure that was my first proposal to you? Just go there.

Ditto,
Your good old Johan"
warboard_southcoast_04_obj_04	Find out what is drawing power in the hangar
inventory_section_callers	CALLERS
worldmission28_info_1name	Runner stone
tut_look_header	LOOKING
map_legend_player_name	Player
tut_outpost	Discovering each region's outpost allows you to fast travel there.
equipment_stats_weapon_peak_draw_weight_description	The draw weight of the bow at maximum pull. A lighter peak draw weight will allow you to hold the arrow in a firing position longer.
popup_header_not_signed_in_psn_ps4	Not Signed In
location_forest_hikers_barrack_01	[TEMP] Hiker's Barrack
mpmenu_visibility_private	FRIENDS
option_resolution_desc	Adjusts the screen resolution of the game.
worldmission26_obj02	Destroy the machine
intromission01_obj_04	Go to the police car to find ammo
player_character_part_name_jacket_02_h	Windbreaker jacket, black
worldmission45_3description	A soldier set up camp, up north from the farm. It surely must have usable loot.
player_character_part_name_jacket_10_a	Military jacket, green
location_southcoast_savered_farm_glennarod	Glennaröd
collectable_dalahast_10_sverige	Sverige Dala Horse
player_character_part_name_jacket_07_b	Punk jacket, red
skill_04_name_02	CHEMIST
tut_inventory_header	Inventory
inventory_item_bow	BOW
location_archipelago_s_saltholmen_salthamn	Salthamn
skill_02_name_01	THROW ACCURACY
region_archipelago_name_uppercase	ARCHIPELAGO
player_character_creation_gender_male	MALE
map_marker_general_radarstation	Radar Station
option_compass_value_fixed	FIXED
signtranslation_stomavbrott	Breaking news:
MYSTERIOUS POWER OUTAGES
Soviets to blame?
mission_wm_46_missionitem_01_header	Delivery
subregion_southcoast_hisinganaset	Hisinganäset
equipment_ingredient_spiritbottle_name	A Bottle of Spirits
attachment_mag_extended_assault_762_01_description	An extended magazine for the AG 4 assault rifle. Attaching this mod will increase the weapon's ammo capacity.
option_keybindings_name	CUSTOMIZE KEY BINDINGS
player_character_part_name_head_m_03	M Head 3
demo_end_of_demo_message	You've just finished the last mission in your closed Beta experience. You can still continue to explore the world and fight the machines but you will have to wait with unraveling the mystery until the game is out in 2019.

Check out our YouTube channel for more gameplay videos or follow us on Facebook and Twitter for the latest news.
option_pad_looksensitivity_desc_ps4	Adjust the right stick sensitivity when looking around.
ok	OK
equipment_ingredient_spiritbottle_01	A bottle of spirit
organ_joint_shoulder	SHOULDER JOINT
playerstat_outposts	OUTPOSTS VISITED
option_highlighttrack_name	TRACK EFFECTS
location_archipelago_n_saltholmen_lanntorp	Länntorp
option_textures_desc	Adjusts the resolution of textures. If you experience occasional stuttering, try a lower setting.
missions_online	ONLINE
social_popup_no_user_header	social_popup_no_user_header
mission_im_03b_missionitem_03_header	Peter's Scribbled Note
region_northern_coastline_name	Northern Coastline Region
option_action_fire	FIRE / USE ITEM
player_character_part_name_shoes_02_d	Leather shoes, pink
attachment_muzzle_compensator_smg_01_name_short	SMG Compensator
collectable_blueprint_17_harvester_classb	Harvester (Army)
warboard_forestcity_04_obj_01_1	Destroy enough machines in the Forest region to obtain a valid IFF key
collectable_gnome_17_swedish	Swedish Gnome
mission_em_sd_missionitem_01_header	1
collectable_mixtape_21_emils_tape_desc	Galne Max - Ljudbok  / Inläsare: R Rodriguez
worldmission21_obj02	Clear out the area of machines
popup_connection_failed_no_internet_xb1	Your connection to the network has been lost. Cannot connect to Xbox Live. Check your connection settings and try again.
mpmenu_allow_vehicles	ALLOW VEHICLES?
location_farmlands_boo_farm_bjurfallet	Bjurfallet
mission_em_sd_missionitem_03_content	3
loot_screen_done_button	DONE
player_character_part_name_neck_02_b	Necklace, silver
warboard_forestcity_answers_03obj_06	Look around the house for a way in
worldmission03_info_summary	The letter mentions an old bunker on Norra Saltholmen
attachment_vision_xray_01_description	This module allows limited viewing of objects through solid obstacles.
player_character_preset_desc_metalhead	METALHEAD
mainmenu_store_xb1	DOWNLOADABLE CONTENT
status_attribute_visibility_label	Visibility
player_downed_abandon	Abandon
enemy_info_activity_title	ACTIVITY:
equipment_stats_scent_eliminator_uses_description	The number of uses the scent eliminator has before it expires and is removed from your inventory.
skill_04_name_12	EXPLOSIVES EXPERT
warboard_farmlands_safety_04obj_01	Find a way in the airport underground facility
team_screen_level_short	Lvl
mission_wb_sm_04_missionitem_01_content	SM04 item 01 content
player_character_part_name_m_hands_b	M Hands B
attachment_vision_heat_night_01_description	This module can be switched between two modes: low light and IR vision.
location_mountain_annagruvan	Ånnagruvan
attachment_muzzle_extension_assault_01_name_short	AR Barrel Extension
ammo_12ga_bird_description	The Birdshot 12-gauge shells are perfectly balanced for speed and spread. Used by farmers to shoot birds out of the sky, they cover a wider area and do light damage with each shot but firing more to guarantee a hit. Ideal for hitting small, fast-moving targets.
location_archipelago_s_saltholmen_naval_base	Saltholmen Naval Base
popup_header_save_delete	Corrupt Save Game
option_action_huntermate_codex	OPEN CODEX
option_mission_roaming_desc	Enable / disable the mission system. Disabling it will stop you from receiving missions in the reserve.
option_action_run	RUN
worldmission09b_info_description	Johan Andersson left a note for his grown-up son in the form of a child's treasure hunt. He mentions a castle near their house at Kaseberg, but did not specify what is to be found there or why.
worldmission22b_4obj02	Take down the machine
wpn_special_launcher_01_name	Granatgevär m/49
tut_codex_basicnavigation	Use {MOVE_FORWARD} {MOVE_BACKWARD} {MOVE_LEFT} {MOVE_RIGHT} to move around and {LOOK_UP} {LOOK_DOWN} {LOOK_LEFT} {LOOK_RIGHT} to look.

Use {JUMP} to jump. Jumping is good for getting over minor obstacles.

You can run by holding down {RUN} or toggle running with {RUN_TOGGLE}.

There is an auto-walk feature that keeps you moving forward. Toggle it on and off with {TOGGLE_AUTO_MOVE}.
player_character_creation_category_label_skintone	SKIN TONE
signtranslation_kundsam	"KUNDSAM" SUPERMARKET
player_character_name_anna	A
equipment_fieldradio_name	Field Radio
interface_button_prefix_hold	HOLD
mission_im_04_missionitem_01_content	The last radio message received seems to have been recorded. It says:

Anderhage, the evacuation is complete. Return to base, over.
(silence)
Lieutenant? We will lock Vesslan down in 10, what is your status, over.
(silence)
Anderhage!? God damn it.

map_legend_need_zone_drink_name	Need Zone - Drinking
equipment_stats_ammo_damage_description	The base damage of a projectile when it hits a target. This is combined with expansion rate at the time of impact to an internal organ and the type of organ to calculate bleed rate from that organ.
option_keybindpreset_value_default	CALL OF THE WILD
equipment_ingredient_pest_part_01_name	Tick Head
worldmission42_obj02	Destroy the remaining machines
warboard_farmlands_safety_04obj_00	Discover the airport
key_pc_escape_2	ESC
warboard_marshlands_safety_sd_summary	Retrieve the device for you left by the Russians to deactivate the machines for good.
wpn_shotgun_semi_12ga_01_name_short	Sjöqvist
player_character_part_name_shoes_01_b	High top sneakers, red
equipment_sight_rifle_scope_02_name	4-8x 42 Scope
player_character_part_name_glasses_02_c	Performance shades, black
player_character_part_name_shoes_04_k	Skate shoes, peach/white
mainmenu_character_create_sex_male	MALE
warboard_marshlands_payback_06obj_03	Search the bunker for anything of use
playerstat_lookouts	LOOKOUTS VISITED
collectable_gnome_16_silver_desc	Warning: hazardous to werewolves.
warboard_forestcity_04_obj_02	Power up the generator
option_section_title_gamepad	GAMEPAD
interface_yes	YES
key_doorkey_vonulmer_name	Von Ulmer's Residence Key
mission_wm_23_missionitem_02_content	World Mission 23 - Mission item 2 content
popup_header_controller_disconnected_wireless_ps4	Controller Disconnected
player_character_part_name_glasses_02_a	Performance shades, gold
tobii_binoculars_gaze_description	Direct your binoculars towards where you are looking when entering aim mode
leaderboard_player_play_time	PLAY TIME
mpmenu_find_game	FIND GAME
equipment_lure_commarray_02_name_short	Med. Comm. Array
player_character_part_name_face_03_a	Small earrings, silver
attachment_mag_extended_assault_762_02_name	[AK-47] Extended Magazine
option_spottingoutline_desc	Controls the outline drawn around a spotted animal.
autosave_message_ps4	This game uses an autosave feature. Please do not turn off your PlayStation®4 computer entertainment system while the autosave symbol is displayed.
tut_huntermate_header	HUNTERMATE
popup_offline_explain_not_signedin_psn_ps4	You are in offline mode because you are not signed in to PlayStation™Network. Certain features, such as multiplayer, will be disabled.
warboard_archipelago	Vesslan Warboard
player_character_sub_category_name_jacket_01	Flight jacket
tut_codex_basicnavigation_header	BASIC NAVIGATION
location_forest_camp_hidden_02	[TEMP]
worldmission08_info_name	Strength in Numbers
popup_connection_failed_xb1	Cannot connect to Xbox Live. Check your connection settings and try again.
player_character_part_name_hair_07_c	Metalhead with bandana, dark blond
player_character_sub_category_name_pants_08	Military pants
location_forest_farm_sundgard	Sundgård
skill_02_description_03	Increased chance of causing stagger when firing on an enemy that is targeting another player.

Level 1: +20% chance of stagger

Level 2: +40% chance of stagger
player_character_part_name_shirt_02_b	Tucked collared shirt, dark gray
player_character_part_name_shirt_01	Tank top
warboard_mountains_04_obj_03	Analyze the Warboard
huntermate_system	SYSTEM
signtranslation_falukorv	"FALUKORV" (ring sausage)
Classic type
Whole ring
option_mpnametags_desc	Enable / disable the display of player nametags in multiplayer.
player_character_part_name_hair_09_c	Slicked back, light brown
option_action_tobii_recalibrate	RESET DEFAULT TOBII HEAD POSITION
option_reflections_desc	Enable / disable screen space reflections. Medium performance impact.
equipment_optics_camera_description	This compact camera is perfect for snapping pictures of nature and group photos alike. Its 5x zoom will allow to capture sharp photos from a distance.
equipment_stats_noise_camo_label	NOISE REDUCTION
inventory_one_handed_weapons_title	SIDEARM
option_vsync_name	VSYNC
equipment_stats_ammo_trajectory_description	The typical trajectory of the projectile when traveling through the air. Weather conditions, primarily wind, may alter the trajectory from what is shown here.
organ_armour_hatch	HATCH
equipment_boombox_lure_description	A boombox is not a toy. Long-range lure, medium effectiveness.
wpn_special_launcher_01_name_short	Grg m/49
warboard_farmlands_safety_04obj_03	Unlock the door from the engineer bay
playerstat_accuracy_rifles	Rifles
attachment_mag_extended_smg_9mm_01_name	HK5 Extended Magazine
equipment_flare_distraction_01_name	Firework
mp1000_name	Fallow King Challenge
equipment_maincat_optics_header	OPTICS
mission_sm_sd_missionitem_02_content	descr2
collectable_dalahast_05_orange	Orange Dala Horse
worldmission27b_info_2summary	Find out where the shotgun was taken
playerstat_skills_active	STALKER
option_value_language_czech	ČEŠTINA (CZECH)
action_pause	PAUSE
mission_wm_36_missionitem_01_header	Salvage
warboard_forestcity_answers_sd_title	Man in the Shadow
equipment_sight_rifle_scope_05_description	Mid-to-Long ranged scope. Fits all Hunting and Sniper Rifles.
tracked_animal_tooltip_header	TRACKED ANIMAL
player_character_part_name_handwear_02_d	False nails, pink
player_character_part_name_face_02_b	Punk piercings, gold
gc_mission_sf_radio_m_xx_01	Important public announcement. Everyone living in the Saltholmen area is required to go to the designated shelter in Salthamn immediately. This is Tobias Nilsson, Civil Defense Coordinator. I repeat, please go to the Salthamn shelter immediately.
social_status_connecting	CONNECTING
status_attribute_noise_reduction_label	Noise Reduction
warboardmission_safety02_obj_01b	Go to the radio relay tower
player_character_sub_category_name_hair_12	Feathered short
signtranslation_konto	CARD CHARGE
ach_088_name	Dealer
option_value_color_electric_ultramarine	ELECTRIC ULTRAMARINE
ammo_270_fmj_name	.270 Full Metal Jacket Ammo
mission_wm_03_missionitem_02_content	Report on Enemy Tactics
Got ambushed by these... things near the church at 1300 hours. It was a swarm of smaller machines, the size of a large rat. They scuttle on the floor, can creep in to buildings through any vent or opening, and keep jumping at you. Not very sturdy - we managed to take down a couple of them before we had to retreat. Hard to get a line of fire at, though. Recommend using close-range weapons with large spread, possibly birdshot ammo.
worldmission20_info_description	The note says:

"To anyone who finds this note,
We came here from the northern safehouse. That place is not safe anymore! It was overrun by machines and we had to leave our supplies behind and move on. Avoid at any cost!"

Maybe this could be an opportunity to scavenge for new supplies...
action_change_stance	CHANGE STANCE
inventory_item_handgun	HANDGUN
signtranslation_kladbutiken	CLOTHES SHOP
tut_codex_spotting	Binoculars and rangefinders can be used to spot animals from afar. When equipped and in aim mode, use {INTERACT} when looking at an animal to spot it.

Spotting an animal will reveal information about its gender and difficulty, and will highlight the animal for a short period of time.

Spotting an animal that is currently using a need zone will automatically mark the need zone on your map.
subregion_archipelago_n_saltholmen	Norra Saltholmen
attachment_muzzle_silencer_assault_01_name	Assault Rifle Silencer
player_character_preset_nerd_variation_2_name	STYLE 2
mission_am_sd_missionitem_04_header	header 4
option_controller_invert_desc	Switch controller look up / down directions.
warboard_southcoast_answers4_02_obj_02	Locate Veronika's house
presence_combat	Fighting the machines
mission_wb_sm_01_missionitem_01_content	"Lieutenant Tillema, this is Vesslan again. Please respond! Are you there? The signal has getting worse and worse over the last couple of hours, we face the risk of not being able to transmit any messages over radio to other command centers and on-ground teams. What's the status on your current emergency plan? ... Please be informed that the Supreme Commander has been notified, given how critical the situation is and the likelihood of interference by a foreign power. Report back asap."
player_character_part_name_glasses_07_e	Pilot glasses, blue
tut_exhaustion_header	EXHAUSTION
player_character_part_name_shoes_01_c	High top sneakers, black
worldmission22_obj03	Practice your aim on the nearby machines
player_character_part_name_jacket_06_k	Varsity jacket, green/yellow
worldmission25_obj03	Search the house for any survivors
tobii_binoculars_gaze_name	BINOCULARS AT GAZE
attachment_vision_night_01_name	Low Light Vision Amplifier
mission_wm_22b_missionitem_02_header	World Mission 22b - Mission item 2 header
login	Login
option_value_color_blue	BLUE
tut_stances_console	Use {JUMP} to stand, {CROUCH} to crouch, and hold {PRONE} to go prone.
equipment_stats_ammo_trajectory_label	TRAJECTORY
player_character_preset_metalhead_variation_2_name	STYLE 2
warboard_marshlands_safety_07obj_01	Find the bridge location
warboard_forestcity_answers_03_desc	Someone from Östervik reported seying a big machine, but nobody took him serious. Maybe he left usable information behind.
location_ostervik_oldtown_park	[TEMP] Östervik Gamla Stan - Park
player_character_part_name_wrists_01	Valley girl watch, white
option_pad_vibration_name	VIBRATION
exit_photo_header	EXIT
mp1030_name	Sharpshooter Challenge
player_character_part_name_hair_14_a	Bandana, black hair
equipment_consumable_first_aid_kit_name	First Aid Kit
player_character_part_name_shirt_06_b	Flannel shirt, light gray
option_action_zoom	ZOOM ADJUST
player_character_part_name_shirt_03_f	Band tee, Heavy Flash
option_spottingoutline_name	SPOTTING OUTLINE
interface_matchmaking	MATCHMAKING
player_character_part_name_head_02	Face 2
tut_crouching	There is an enemy up by the road. You are unarmed.

Use {crouch} to toggle crouch and move more silently, in order to avoid detection.
player_character_facepaint_name_makeup_p	Makeup, war paint 1
mission_wm_15_missionitem_01_header	Decrypted communication on an unusual channel
location_archipelago_iboholmen_yttervik	Yttervik
player_character_part_name_jacket_09_b	Jeans jacket, blue/yellow
interface_msg_perk_locked	Sorry, this Perk is locked.
key_doorkey_am05_description	The key has a label on it named "Northcoast Relay Storage"
equipment_medstation_description	A deployable health pack that allows you and your team to heal up.
status_attribute_impactresistance_label	Impact Resistance
hunting_stand_name	Hunting stand
equipment_ingredient_bleach_description	A bottle of chemical bleach, useful for cleaning, can burn through skin and also very toxic if set alight. Handle with care.
location_southcoast_hisinganaset_marina_smabatshamnen	Småbåtshamnen
warboard_mountains_payback_07_3desc	Destroying the resupply station would hinder the machine activity in this area
warboard_farmlands_01_name	Warboard - Sorken Bunker
wpn_rifle_sniper_50_01_name_short	Pvg 90
worldmission09_info_name	Seeds of Doubt
player_character_part_name_pants_06_c	Punk skirt, yellow
equipment_fuelcell_01_name	Small Fuel Cell
mpmenu_reserve_any_xb1	ANY
collectable_category_blueprints	Machine Blueprints
tut_skills_header	SKILLS
collectable_blueprint_15_tank_classc_desc	This upgraded version of the Tank has stronger metal alloy armor plating in addition to a greater loadout capacity, allowing a larger set of armament combinations. The blueprints also indicate that it has the capacity for more advanced sensory equipment.

Loadout:
Machine gun
Sniper rifle
Missiles
Mortar
Tick deployment
Gas release
Melee stomp
Concussion pulse
bleed_rate_very_low	VERY LOW
player_character_part_name_handwear_02_c	False nails, black
collectable_mixtape_03_towes_training_name	Towes Träningspass
equipment_sight_rifle_scope_03_name	8-16x 50 Scope
ach_072_name	A Bounty A Day Keeps The Machines Away
ach_010_name	Dirty Dancing
equipment_stats_ammo_external_ballistics_title	EXTERNAL BALLISTICS
weight_range_format	%s - %s
status_attribute_bullet_resistance_label	Bullet Resistance
wpn_rifle_assault_556_01_name_short	AG 5 Assault Rifle
organ_drive_axle	DRIVE AXLE
attachment_vision_night_xray_01_description	This module can be switched between two modes: low light and object penetrating vision.
collectable_gnome_06_gamma_desc	The unfortunate victim of an accident involving gamma radiation experiments. Don't anger him.
warboard_marshlands_safety_sdobj_03	Retrieve the deactivating device and the keycard from the boat
player_character_part_name_hat_06_h	Military helmet, dazzle
